pesectionProcessed_resourcesMeanSize,sample_sha1
0.0,342
16.0,3
40.0,1
44.0,1
74.0,1
86.0,6
110.0,1
112.0,3
116.0,1
131.0,1
143.0,1
149.0,2
156.0,2
173.0,1
190.0,1
196.0,1
198.0,1
210.0,1
215.0,2
220.0,1
221.0,1
229.0,2
238.0,1
240.0,1
243.0,1
244.0,2
246.0,3
249.0,2
250.0,2
254.0,5
256.0,1
257.0,2
258.0,1
259.0,19
260.0,2
261.0,21
263.0,1
264.0,1
265.0,6
266.0,1
270.0,1
273.0,1
279.0,1
280.0,2
282.0,1
283.0,16
286.0,1
288.0,2
289.0,1
290.0,5
291.0,1
292.0,2
294.0,4
295.0,1
296.0,2
297.0,2
298.0,4
299.0,1
300.0,3
301.0,1
303.0,5
304.0,3
305.0,2
307.0,1
308.0,1
310.0,5
311.0,1
312.0,1
313.0,1
314.0,4
315.0,2
317.0,2
318.0,1
319.0,17
321.0,3
322.0,4
324.0,2
325.0,2
329.0,5
331.0,1
332.0,1
335.0,3
337.0,2
338.0,2
339.0,1
340.0,3
341.0,2
342.0,1
343.0,4
346.0,104
347.0,1
348.0,1
349.0,2
350.0,1
351.0,1
352.0,1
353.0,2
354.0,8
355.0,1
356.0,2
357.0,2
358.0,425
359.0,1
360.0,3
361.0,5
362.0,2
364.0,1
365.0,3
367.0,6
368.0,23
369.0,2
370.0,3
372.0,2
375.0,3
376.0,2
377.0,2
378.0,1
379.0,1
380.0,21
381.0,39
382.0,18
383.0,8
384.0,9
385.0,9
386.0,5
387.0,7
388.0,9
389.0,9
390.0,8
391.0,9
392.0,14
393.0,8
394.0,9
395.0,4
396.0,7
397.0,7
398.0,4
399.0,6
400.0,7
401.0,6
402.0,7
403.0,10
404.0,10
405.0,1
406.0,8
407.0,4
408.0,8
409.0,6
410.0,9
411.0,4
412.0,3
413.0,10
415.0,6
416.0,14
417.0,8
418.0,4
419.0,1
420.0,2
422.0,4
423.0,1
424.0,2
425.0,2
426.0,4
428.0,2
429.0,10
431.0,5
432.0,7
433.0,8
434.0,6
435.0,1
436.0,3
437.0,5
438.0,4
439.0,4
440.0,8
441.0,7
442.0,3
443.0,10
444.0,3
445.0,3
446.0,2
447.0,5
448.0,6
449.0,1
450.0,58
451.0,3
452.0,2
453.0,3
455.0,7
456.0,2
457.0,3
458.0,1
459.0,2
460.0,5
461.0,5
462.0,6
463.0,2
464.0,6
465.0,9
466.0,2
467.0,2
468.0,1
469.0,4
470.0,8
472.0,3
473.0,4
474.0,2
475.0,2
476.0,2
477.0,6
478.0,2
479.0,2
480.0,2
481.0,6
482.0,4
484.0,2
485.0,1
486.0,6
487.0,1
488.0,8
489.0,5
490.0,3
491.0,5
492.0,3
493.0,7
494.0,9
495.0,2
496.0,6
497.0,2
498.0,2
499.0,1
500.0,1
501.0,4
502.0,3
503.0,2
504.0,4
505.0,2
506.0,5
507.0,2
508.0,5
509.0,1
510.0,4
511.0,7
512.0,2
514.0,1
515.0,2
516.0,4
517.0,4
518.0,5
519.0,1
520.0,3
521.0,6
522.0,3
523.0,4
524.0,4
525.0,16
526.0,14
527.0,2
528.0,6
529.0,7
530.0,10
531.0,5
532.0,16
533.0,23
534.0,6
535.0,6
536.0,7
537.0,8
538.0,8
539.0,1
540.0,5
541.0,5
542.0,3
543.0,6
544.0,2
545.0,12
546.0,3
547.0,1
548.0,4
549.0,3
550.0,2
551.0,2
552.0,3
553.0,8
554.0,6
555.0,7
556.0,12
557.0,1
558.0,4
560.0,3
561.0,2
562.0,2
563.0,1
564.0,5
565.0,3
566.0,3
567.0,2
568.0,2
569.0,1
570.0,30
571.0,6
572.0,2
573.0,4
574.0,5
575.0,4
576.0,2
577.0,1
578.0,4
579.0,4
580.0,7
581.0,3
582.0,3
583.0,1
584.0,3
585.0,2
586.0,4
587.0,7
588.0,4
589.0,8
590.0,1
591.0,2
592.0,6
593.0,3
594.0,2
595.0,2
596.0,4
597.0,2
598.0,16
599.0,2
600.0,4
601.0,4
602.0,4
604.0,5
605.0,2
606.0,6
607.0,4
608.0,4
609.0,3
610.0,3
611.0,1
612.0,1
613.0,4
614.0,5
615.0,2
616.0,5
617.0,7
618.0,7
620.0,2
621.0,2
622.0,4
623.0,3
624.0,4
625.0,3
627.0,2
628.0,1
629.0,4
630.0,3
631.0,2
632.0,4
633.0,1
634.0,7
635.0,4
636.0,2
637.0,1
638.0,9
639.0,2
640.0,1
641.0,3
642.0,1
643.0,1
644.0,2
645.0,2
646.0,5
647.0,2
648.0,3
649.0,2
650.0,3
651.0,16
652.0,2
653.0,1
654.0,2
655.0,4
656.0,4
657.0,2
658.0,2
659.0,2
660.0,4
662.0,4
663.0,5
664.0,4
665.0,2
666.0,5
668.0,2
669.0,3
670.0,1
671.0,3
672.0,1
673.0,4
674.0,6
675.0,2
676.0,1
677.0,1
678.0,1
679.0,1
680.0,2
681.0,1
682.0,4
684.0,12
685.0,2
686.0,6
687.0,2
688.0,4
689.0,1
690.0,6
692.0,16
693.0,2
694.0,5
695.0,6
696.0,2
697.0,27
698.0,4
699.0,2
700.0,8
701.0,13
702.0,1
703.0,1
704.0,2
705.0,3
706.0,2
708.0,3
709.0,4
710.0,3
711.0,1
712.0,3
713.0,3
714.0,3
715.0,1
716.0,5
717.0,53
718.0,3
719.0,4
720.0,4
721.0,2
722.0,8
724.0,2
725.0,4
726.0,17
727.0,3
728.0,2
729.0,3
730.0,4
731.0,23
732.0,3
733.0,1
734.0,4
736.0,42
737.0,1
738.0,3
739.0,1
741.0,1
743.0,1
745.0,2
746.0,2
747.0,3
749.0,1
750.0,2
751.0,4
752.0,1
754.0,2
756.0,1
758.0,1
760.0,1
761.0,2
762.0,3
764.0,9
765.0,2
767.0,1
768.0,2
770.0,2
771.0,4
774.0,8
777.0,1
778.0,3
780.0,4
781.0,7
782.0,1
783.0,2
784.0,2
785.0,2
786.0,2
787.0,2
789.0,3
791.0,2
792.0,5
793.0,1
796.0,6
797.0,1
798.0,5
799.0,1
800.0,2
801.0,3
803.0,1
804.0,4
805.0,2
806.0,1
807.0,2
808.0,2
809.0,5
810.0,4
811.0,4
812.0,6
813.0,4
815.0,1
816.0,4
818.0,1
819.0,63
820.0,4
821.0,1
822.0,7
823.0,2
824.0,1
826.0,4
827.0,1
828.0,6
829.0,2
830.0,1
831.0,1
832.0,3
833.0,1
836.0,4
837.0,5
838.0,1
839.0,3
840.0,1
841.0,8
842.0,3
844.0,18
846.0,2
848.0,2
849.0,1
850.0,1
851.0,1
852.0,2
853.0,3
854.0,1
855.0,3
856.0,2
857.0,7
860.0,4
861.0,1
863.0,1
864.0,4
865.0,2
867.0,3
868.0,1
870.0,1
871.0,3
872.0,6
873.0,2
874.0,6
875.0,4
876.0,2
877.0,5
878.0,3
879.0,3
880.0,5
882.0,2
883.0,4
885.0,2
888.0,2
889.0,2
890.0,5
891.0,2
892.0,3
893.0,1
894.0,5
895.0,1
896.0,1
897.0,1
898.0,3
899.0,3
900.0,1
901.0,1
904.0,7
905.0,1
907.0,2
908.0,9
909.0,1
910.0,3
911.0,1
912.0,3
913.0,2
914.0,1
915.0,1
916.0,2
917.0,1
918.0,1
919.0,3
920.0,4
921.0,5
922.0,1
924.0,5
925.0,4
926.0,3
927.0,2
928.0,6
929.0,1
930.0,1
932.0,4
933.0,4
934.0,2
935.0,1
936.0,6
938.0,6
939.0,3
940.0,3
941.0,1
942.0,2
943.0,1
945.0,1
948.0,4
950.0,2
951.0,2
952.0,3
955.0,4
957.0,2
958.0,3
959.0,2
960.0,3
961.0,1
962.0,3
963.0,1
965.0,1
966.0,1
967.0,1
968.0,2
969.0,2
970.0,1
972.0,2
973.0,2
974.0,1
975.0,3
978.0,1
982.0,7
983.0,1
984.0,1
985.0,1
986.0,2
988.0,1
989.0,2
990.0,1
992.0,1
993.0,1
994.0,2
995.0,1
996.0,2
997.0,1
998.0,1
999.0,1
1000.0,4
1001.0,1
1002.0,3
1004.0,2
1005.0,1
1008.0,2
1009.0,1
1010.0,2
1011.0,1
1012.0,1
1013.0,1
1015.0,1
1016.0,1
1017.0,1
1019.0,1
1020.0,1
1021.0,1
1024.0,2
1025.0,1
1027.0,1
1028.0,1
1029.0,2
1031.0,1
1032.0,2
1035.0,1
1038.0,3
1039.0,2
1040.0,10
1041.0,1
1042.0,4
1045.0,1
1046.0,2
1048.0,1
1050.0,3
1051.0,1
1053.0,1
1054.0,1
1056.0,3
1057.0,1
1059.0,3
1060.0,5
1061.0,3
1062.0,1
1063.0,1
1064.0,13
1065.0,4
1068.0,2
1069.0,4
1070.0,1
1072.0,2
1073.0,1
1074.0,1
1075.0,2
1076.0,1
1077.0,1
1078.0,1
1079.0,2
1081.0,2
1082.0,2
1083.0,1
1084.0,3
1085.0,4
1086.0,1
1087.0,1
1088.0,1
1090.0,2
1092.0,2
1093.0,1
1094.0,1
1095.0,1
1096.0,1
1097.0,4
1098.0,3
1099.0,1
1102.0,3
1106.0,2
1107.0,2
1109.0,1
1110.0,1
1111.0,3
1112.0,3
1113.0,1
1114.0,1
1115.0,3
1116.0,27
1117.0,15
1118.0,4
1123.0,2
1124.0,1
1125.0,3
1128.0,1
1129.0,2
1130.0,1
1133.0,1
1134.0,3
1137.0,1
1139.0,4
1140.0,2
1141.0,1
1142.0,3
1143.0,1
1146.0,1
1147.0,2
1149.0,1
1150.0,2
1152.0,4
1153.0,2
1154.0,2
1158.0,1
1160.0,1
1162.0,1
1163.0,2
1165.0,8
1167.0,26
1168.0,1
1169.0,2
1170.0,3
1172.0,2
1173.0,2
1174.0,2
1175.0,1
1177.0,2
1178.0,2
1179.0,1
1180.0,1
1181.0,1
1182.0,3
1185.0,2
1186.0,3
1187.0,1
1188.0,1
1189.0,2
1191.0,2
1192.0,3
1193.0,1
