rich_pid_6,sample_sha1
0,13390
1,644
4,55
5,2
6,286
10,102
11,583
14,10
15,1
18,4
19,25
21,1
22,11
25,3
28,4
29,22
34,1
38,1
39,1
46,1
48,70
49,3
56,1
61,74
63,2
69,20
90,339
92,17
93,23
94,65
95,38
96,34
109,14
110,17
114,20
120,557
122,3
123,12
124,176
125,1
126,7
131,38
132,41
136,1
137,1
138,68
143,6
144,1
145,480
146,11
147,121
148,1739
149,2
151,4
154,378
155,2
157,510
158,6
162,1
163,5
170,3
171,54
172,1
174,1
175,139
180,66
185,3
193,1
201,47
203,7
204,1
205,5
206,5
207,6
208,2
210,1
211,26
216,1
219,48
220,1
222,52
225,15
228,2
229,7
234,1
238,2
239,2
240,1
244,1
247,1
257,2
260,15
261,44
262,1
64004,1
