pesectionProcessed_resourcesMeanSize,sample_sha1
0.0,1905
16.0,19
36.0,1
43.0,2
48.0,2
50.0,1
53.0,3
56.0,1
60.0,3
62.0,2
64.0,3
66.0,4
68.0,10
70.0,1
71.0,5
72.0,2
74.0,2
76.0,1
79.0,1
86.0,7
88.0,1
92.0,3
96.0,2
98.0,4
99.0,1
100.0,3
101.0,1
108.0,1
112.0,42
114.0,2
123.0,1
126.0,2
130.0,4
131.0,2
132.0,1
134.0,1
139.0,1
140.0,1
141.0,4
142.0,2
143.0,1
148.0,1
156.0,7
158.0,3
159.0,1
161.0,6
164.0,7
165.0,1
166.0,5
167.0,1
168.0,2
170.0,53
171.0,6
172.0,2
174.0,1
175.0,48
176.0,1
178.0,1
180.0,7
184.0,1
187.0,1
188.0,14
189.0,1
192.0,3
194.0,17
197.0,1
198.0,2
199.0,8
200.0,1
201.0,150
202.0,1
203.0,8
205.0,5
206.0,1
208.0,6
209.0,4
211.0,6
212.0,4
216.0,5
217.0,1
218.0,1
221.0,2
222.0,4
224.0,3
225.0,1
226.0,1
230.0,3
232.0,1
234.0,7
236.0,5
237.0,16
238.0,9
242.0,3
244.0,1
245.0,4
246.0,1
248.0,2
249.0,1
250.0,17
251.0,16
254.0,2
255.0,1
256.0,5
258.0,2
259.0,1
260.0,1
262.0,6
263.0,2
264.0,2
265.0,1
266.0,5
267.0,3
268.0,3
269.0,1
272.0,1
274.0,10
276.0,4
278.0,2
279.0,5
280.0,6
281.0,1
283.0,1
285.0,10
286.0,4
287.0,5
290.0,6
291.0,1
292.0,1
294.0,2
297.0,1
298.0,1
300.0,1
301.0,6
302.0,4
303.0,4
304.0,1
305.0,3
307.0,3
308.0,7
309.0,1
310.0,1
311.0,7
312.0,3
313.0,5
315.0,2
316.0,9
317.0,1
319.0,2
320.0,2
321.0,2
323.0,1
325.0,7
327.0,2
328.0,2
329.0,2
330.0,5
331.0,1
332.0,3
334.0,5
335.0,4
336.0,2
337.0,1
338.0,27
339.0,6
342.0,1
343.0,1
344.0,2
345.0,1
346.0,27
347.0,4
348.0,2
350.0,5
352.0,18
353.0,6
354.0,4
355.0,1
356.0,6
357.0,22
358.0,6
359.0,1
360.0,11
361.0,3
362.0,8
363.0,2
364.0,6
365.0,4
366.0,2
367.0,17
368.0,2
369.0,2
370.0,2
371.0,3
372.0,4
373.0,10
374.0,8
375.0,58
376.0,8
377.0,42
378.0,11
379.0,10
380.0,14
381.0,83
382.0,129
384.0,45
385.0,21
386.0,21
387.0,19
388.0,34
389.0,6
390.0,27
391.0,4
392.0,32
393.0,43
394.0,7
395.0,17
396.0,21
397.0,18
398.0,17
399.0,26
400.0,41
401.0,45
402.0,15
403.0,39
404.0,24
405.0,37
406.0,3
407.0,10
408.0,3
409.0,29
410.0,8
